Word,Nmorph_ELP,LLM_Predicted_Estimate,Signed_Discrepancy_GPT_minus_NMorph,Absolute_Discrepancy,Transparency_Proximity_0_1,Undersegmentation,Oversegmentation
acquiesced,2,3,1,1,0.5,0,1
acquiescence,2,3,1,1,0.5,0,1
acquiescent,2,3,1,1,0.5,0,1
acquiesces,2,3,1,1,0.5,0,1
acquiescing,2,3,1,1,0.5,0,1
acquire,2,2,0,0,1,0,0
acquit,2,2,0,0,1,0,0
acreage,2,2,0,0,1,0,0
acres,2,2,0,0,1,0,0
acrimonious,2,3,1,1,0.5,0,1
acrobatic,2,3,1,1,0.5,0,1
acrobatics,2,3,1,1,0.5,0,1
acrobats,2,3,1,1,0.5,0,1
acronym,2,2,0,0,1,0,0
acropolises,2,3,1,1,0.5,0,1
acrostics,2,3,1,1,0.5,0,1
acrylics,2,3,1,1,0.5,0,1
acted,2,2,0,0,1,0,0
acting,2,2,0,0,1,0,0
actinic,2,2,0,0,1,0,0
actinism,2,2,0,0,1,0,0
ACTINOMETER,2,3,1,1,0.5,0,1
action,2,2,0,0,1,0,0
active,2,2,0,0,1,0,0
actor,2,2,0,0,1,0,0
actress,2,2,0,0,1,0,0
acts,2,2,0,0,1,0,0
actual,2,2,0,0,1,0,0
actuary,2,2,0,0,1,0,0
actuate,2,2,0,0,1,0,0
acupuncture,2,3,1,1,0.5,0,1
acutely,2,2,0,0,1,0,0
acuteness,2,2,0,0,1,0,0
adages,2,2,0,0,1,0,0
adagios,2,3,1,1,0.5,0,1
ADAIR'S,2,2,0,0,1,0,0
adamantly,2,3,1,1,0.5,0,1
Adam's,2,2,0,0,1,0,0
ADAMSON,2,2,0,0,1,0,0
ADAMS'S,2,2,0,0,1,0,0
adaptable,2,3,1,1,0.5,0,1
adaptation,2,3,1,1,0.5,0,1
adapted,2,3,1,1,0.5,0,1
adapter,2,2,0,0,1,0,0
adapting,2,3,1,1,0.5,0,1
adapts,2,2,0,0,1,0,0
Ada's,2,2,0,0,1,0,0
ADCOCK,2,2,0,0,1,0,0
added,2,2,0,0,1,0,0
addenda,2,2,0,0,1,0,0
addendum,2,2,0,0,1,0,0
adders,2,3,1,1,0.5,0,1
addicted,2,3,1,1,0.5,0,1
addicting,2,3,1,1,0.5,0,1
addiction,2,2,0,0,1,0,0
addictive,2,3,1,1,0.5,0,1
addicts,2,2,0,0,1,0,0
adding,2,2,0,0,1,0,0
ADDISON,2,2,0,0,1,0,0
addition,2,2,0,0,1,0,0
additive,2,2,0,0,1,0,0
addled,2,2,0,0,1,0,0
addles,2,2,0,0,1,0,0
addling,2,2,0,0,1,0,0
addressed,2,3,1,1,0.5,0,1
addressee,2,2,0,0,1,0,0
addresses,2,3,1,1,0.5,0,1
addressing,2,3,1,1,0.5,0,1
Addressograph,2,3,1,1,0.5,0,1
adds,2,2,0,0,1,0,0
adduce,2,2,0,0,1,0,0
adenoidally,2,3,1,1,0.5,0,1
adenoids,2,3,1,1,0.5,0,1
adeptly,2,2,0,0,1,0,0
adepts,2,3,1,1,0.5,0,1
adequacy,2,2,0,0,1,0,0
adequate,2,2,0,0,1,0,0
adhere,2,2,0,0,1,0,0
adirondacks,2,3,1,1,0.5,0,1
adjectival,2,3,1,1,0.5,0,1
adjectives,2,3,1,1,0.5,0,1
adjoin,2,2,0,0,1,0,0
adjourn,2,2,0,0,1,0,0
adjudge,2,2,0,0,1,0,0
adjunct,2,2,0,0,1,0,0
adjured,2,3,1,1,0.5,0,1
adjures,2,3,1,1,0.5,0,1
adjuring,2,3,1,1,0.5,0,1
adjustable,2,3,1,1,0.5,0,1
adjusted,2,3,1,1,0.5,0,1
adjuster,2,2,0,0,1,0,0
adjusting,2,3,1,1,0.5,0,1
adjustment,2,2,0,0,1,0,0
adjusts,2,2,0,0,1,0,0
adjutant,2,2,0,0,1,0,0
adman,2,2,0,0,1,0,0
administered,2,3,1,1,0.5,0,1
administering,2,3,1,1,0.5,0,1
administers,2,3,1,1,0.5,0,1
admirable,2,3,1,1,0.5,0,1
admirals,2,3,1,1,0.5,0,1
admiralty,2,2,0,0,1,0,0
admiration,2,3,1,1,0.5,0,1
admired,2,3,1,1,0.5,0,1
admirer,2,2,0,0,1,0,0
admires,2,3,1,1,0.5,0,1
admiring,2,3,1,1,0.5,0,1
admit,2,2,0,0,1,0,0
admix,2,2,0,0,1,0,0
admonish,2,2,0,0,1,0,0
adolescence,2,3,1,1,0.5,0,1
adolescent,2,2,0,0,1,0,0
adopted,2,3,1,1,0.5,0,1
adopting,2,3,1,1,0.5,0,1
adoption,2,2,0,0,1,0,0
adoptive,2,2,0,0,1,0,0
adopts,2,3,1,1,0.5,0,1
adorable,2,2,0,0,1,0,0
adoration,2,3,1,1,0.5,0,1
adored,2,2,0,0,1,0,0
adorer,2,2,0,0,1,0,0
adores,2,2,0,0,1,0,0
adoring,2,2,0,0,1,0,0
adorned,2,3,1,1,0.5,0,1
adorning,2,3,1,1,0.5,0,1
adornment,2,2,0,0,1,0,0
adorns,2,2,0,0,1,0,0
adrenalin,2,2,0,0,1,0,0
adroitly,2,2,0,0,1,0,0
adroitness,2,3,1,1,0.5,0,1
ads,2,2,0,0,1,0,0
adulated,2,3,1,1,0.5,0,1
adulates,2,3,1,1,0.5,0,1
adulating,2,3,1,1,0.5,0,1
adulation,2,3,1,1,0.5,0,1
adulator,2,3,1,1,0.5,0,1
adulatory,2,3,1,1,0.5,0,1
adulterant,2,3,1,1,0.5,0,1
adulterate,2,3,1,1,0.5,0,1
adulterer,2,3,1,1,0.5,0,1
adulteress,2,3,1,1,0.5,0,1
adulterous,2,3,1,1,0.5,0,1
adultery,2,2,0,0,1,0,0
adulthood,2,2,0,0,1,0,0
adults,2,2,0,0,1,0,0
adumbrate,2,2,0,0,1,0,0
advanced,2,3,1,1,0.5,0,1
advancement,2,3,1,1,0.5,0,1
advances,2,3,1,1,0.5,0,1
advancing,2,3,1,1,0.5,0,1
advantaged,2,3,1,1,0.5,0,1
advantageous,2,3,1,1,0.5,0,1
advantages,2,3,1,1,0.5,0,1
advantaging,2,3,1,1,0.5,0,1
advent,2,2,0,0,1,0,0
adverb,2,2,0,0,1,0,0
adversary,2,3,1,1,0.5,0,1
adversely,2,3,1,1,0.5,0,1
adversity,2,3,1,1,0.5,0,1
advertence,2,2,0,0,1,0,0
advertent,2,2,0,0,1,0,0
advertise,2,2,0,0,1,0,0
adverts,2,2,0,0,1,0,0
advices,2,3,1,1,0.5,0,1
advisable,2,3,1,1,0.5,0,1
advised,2,3,1,1,0.5,0,1
advisement,2,3,1,1,0.5,0,1
adviser,2,2,0,0,1,0,0
advises,2,3,1,1,0.5,0,1
advising,2,3,1,1,0.5,0,1
advisor,2,2,0,0,1,0,0
advisory,2,2,0,0,1,0,0
adzes,2,2,0,0,1,0,0
aeons,2,2,0,0,1,0,0
aerate,2,2,0,0,1,0,0
aerial,2,2,0,0,1,0,0
aerobatic,2,3,1,1,0.5,0,1
aerobatics,2,3,1,1,0.5,0,1
aerobic,2,2,0,0,1,0,0
aerodrome,2,2,0,0,1,0,0
aeronaut,2,2,0,0,1,0,0
aeroplane,2,2,0,0,1,0,0
aerosol,2,2,0,0,1,0,0
aerospace,2,2,0,0,1,0,0
aesthete,2,2,0,0,1,0,0
affability,2,3,1,1,0.5,0,1
affably,2,3,1,1,0.5,0,1
AFFAIRES,2,2,0,0,1,0,0
affairs,2,2,0,0,1,0,0
affect,2,2,0,0,1,0,0
affiance,2,2,0,0,1,0,0
affidavits,2,3,1,1,0.5,0,1
affiliate,2,2,0,0,1,0,0
affinities,2,3,1,1,0.5,0,1
affirm,2,2,0,0,1,0,0
affix,2,2,0,0,1,0,0
afflict,2,2,0,0,1,0,0
afforded,2,3,1,1,0.5,0,1
affording,2,3,1,1,0.5,0,1
affords,2,2,0,0,1,0,0
afforest,2,2,0,0,1,0,0
affrays,2,2,0,0,1,0,0
affront,2,2,0,0,1,0,0
Afghani,2,2,0,0,1,0,0
Afghans,2,2,0,0,1,0,0
aficionados,2,3,1,1,0.5,0,1
afore,2,2,0,0,1,0,0
African,2,2,0,0,1,0,0
Afrikaner,2,3,1,1,0.5,0,1
afterbirth,2,2,0,0,1,0,0
aftercare,2,2,0,0,1,0,0
afterdamp,2,2,0,0,1,0,0
afterglow,2,2,0,0,1,0,0
afterlife,2,2,0,0,1,0,0
aftermath,2,2,0,0,1,0,0
afternoon,2,2,0,0,1,0,0
afters,2,2,0,0,1,0,0
aftershave,2,2,0,0,1,0,0
aftertaste,2,2,0,0,1,0,0
afterthought,2,2,0,0,1,0,0
afterward,2,2,0,0,1,0,0
agates,2,2,0,0,1,0,0
agaves,2,2,0,0,1,0,0
aged,2,2,0,0,1,0,0
ageing,2,2,0,0,1,0,0
ageless,2,2,0,0,1,0,0
agency,2,2,0,0,1,0,0
agendas,2,3,1,1,0.5,0,1
agent,2,2,0,0,1,0,0
ages,2,2,0,0,1,0,0
Aggies,2,2,0,0,1,0,0
AGGLUTININ,2,3,1,1,0.5,0,1
aggravated,2,3,1,1,0.5,0,1
aggravates,2,3,1,1,0.5,0,1
aggravating,2,3,1,1,0.5,0,1
aggravation,2,3,1,1,0.5,0,1
aggregate,2,2,0,0,1,0,0
aggressed,2,3,1,1,0.5,0,1
aggresses,2,3,1,1,0.5,0,1
aggressing,2,3,1,1,0.5,0,1
aggression,2,3,1,1,0.5,0,1
aggressive,2,2,0,0,1,0,0
aggressor,2,2,0,0,1,0,0
aggrieve,2,2,0,0,1,0,0
agilely,2,2,0,0,1,0,0
agility,2,2,0,0,1,0,0
aging,2,2,0,0,1,0,0
agitated,2,3,1,1,0.5,0,1
agitates,2,3,1,1,0.5,0,1
agitating,2,3,1,1,0.5,0,1
agitation,2,3,1,1,0.5,0,1
agitator,2,2,0,0,1,0,0
agonize,2,2,0,0,1,0,0
agony,2,2,0,0,1,0,0
agoras,2,2,0,0,1,0,0
agrarian,2,2,0,0,1,0,0
agreeable,2,2,0,0,1,0,0
agreed,2,2,0,0,1,0,0
agreeing,2,3,1,1,0.5,0,1
agreement,2,2,0,0,1,0,0
agrees,2,2,0,0,1,0,0
AGRICOLAS,2,3,1,1,0.5,0,1
agriculture,2,2,0,0,1,0,0
agues,2,2,0,0,1,0,0
aided,2,2,0,0,1,0,0
aides,2,2,0,0,1,0,0
aiding,2,2,0,0,1,0,0
aids,2,2,0,0,1,0,0
ailed,2,2,0,0,1,0,0
ailerons,2,3,1,1,0.5,0,1
ailing,2,2,0,0,1,0,0
ailment,2,2,0,0,1,0,0
ails,2,2,0,0,1,0,0
aimed,2,2,0,0,1,0,0
aiming,2,2,0,0,1,0,0
aimless,2,2,0,0,1,0,0
aims,2,2,0,0,1,0,0
AINSWORTH,2,2,0,0,1,0,0
ain't,2,2,0,0,1,0,0
airbase,2,2,0,0,1,0,0
airbed,2,2,0,0,1,0,0
airborne,2,2,0,0,1,0,0
airbus,2,2,0,0,1,0,0
aircraft,2,2,0,0,1,0,0
aircrew,2,2,0,0,1,0,0
airdrome,2,2,0,0,1,0,0
airdrop,2,2,0,0,1,0,0
aired,2,2,0,0,1,0,0
Airedale,2,2,0,0,1,0,0
airfield,2,2,0,0,1,0,0
airflow,2,2,0,0,1,0,0
airforce,2,2,0,0,1,0,0
airframe,2,2,0,0,1,0,0
airgun,2,2,0,0,1,0,0
airhole,2,2,0,0,1,0,0
airing,2,2,0,0,1,0,0
airless,2,2,0,0,1,0,0
airlift,2,2,0,0,1,0,0
airline,2,2,0,0,1,0,0
airlock,2,2,0,0,1,0,0
airmail,2,2,0,0,1,0,0
airman,2,2,0,0,1,0,0
airmen,2,2,0,0,1,0,0
airpark,2,2,0,0,1,0,0
airplane,2,2,0,0,1,0,0
airport,2,2,0,0,1,0,0
airs,2,2,0,0,1,0,0
airshaft,2,2,0,0,1,0,0
airship,2,2,0,0,1,0,0
airsick,2,2,0,0,1,0,0
airspace,2,2,0,0,1,0,0
airspeed,2,2,0,0,1,0,0
airstrip,2,2,0,0,1,0,0
airtight,2,2,0,0,1,0,0
airway,2,2,0,0,1,0,0
airwoman,2,2,0,0,1,0,0
airwomen,2,2,0,0,1,0,0
airy,2,2,0,0,1,0,0
aisles,2,2,0,0,1,0,0
aitches,2,2,0,0,1,0,0
alarmed,2,2,0,0,1,0,0
alarming,2,3,1,1,0.5,0,1
alarmist,2,2,0,0,1,0,0
alarms,2,2,0,0,1,0,0
Albanian,2,2,0,0,1,0,0
albatrosses,2,3,1,1,0.5,0,1
albinos,2,3,1,1,0.5,0,1
ALBRIGHT,2,2,0,0,1,0,0
albs,2,2,0,0,1,0,0
albums,2,2,0,0,1,0,0
alcoholic,2,2,0,0,1,0,0
alcoholism,2,3,1,1,0.5,0,1
alcohols,2,2,0,0,1,0,0
alcoves,2,2,0,0,1,0,0
alderman,2,2,0,0,1,0,0
aldermen,2,3,1,1,0.5,0,1
alders,2,2,0,0,1,0,0
ALEC'S,2,2,0,0,1,0,0
alehouse,2,2,0,0,1,0,0
ALEMAGNA,2,2,0,0,1,0,0
alerted,2,2,0,0,1,0,0
alerting,2,2,0,0,1,0,0
alertly,2,2,0,0,1,0,0
alertness,2,2,0,0,1,0,0
alerts,2,2,0,0,1,0,0
ales,2,2,0,0,1,0,0
Alexander's,2,3,1,1,0.5,0,1
alexandrines,2,3,1,1,0.5,0,1
Alex's,2,2,0,0,1,0,0
Alfred's,2,2,0,0,1,0,0
alga,2,2,0,0,1,0,0
algae,2,2,0,0,1,0,0
algebraic,2,2,0,0,1,0,0
algebras,2,2,0,0,1,0,0
Algerian,2,2,0,0,1,0,0
algorithmic,2,2,0,0,1,0,0
algorithms,2,3,1,1,0.5,0,1
aliases,2,2,0,0,1,0,0
alibis,2,2,0,0,1,0,0
alienable,2,3,1,1,0.5,0,1
alienate,2,2,0,0,1,0,0
alienation,2,3,1,1,0.5,0,1
alienist,2,2,0,0,1,0,0
aliens,2,2,0,0,1,0,0
alighted,2,3,1,1,0.5,0,1
alighting,2,3,1,1,0.5,0,1
alights,2,3,1,1,0.5,0,1
align,2,2,0,0,1,0,0
alike,2,2,0,0,1,0,0
alimentary,2,3,1,1,0.5,0,1
ALIQUOTS,2,2,0,0,1,0,0
alive,2,2,0,0,1,0,0
alkali,2,2,0,0,1,0,0
alkaline,2,2,0,0,1,0,0
allayed,2,3,1,1,0.5,0,1
allaying,2,3,1,1,0.5,0,1
allays,2,2,0,0,1,0,0
alleged,2,2,0,0,1,0,0
alleges,2,3,1,1,0.5,0,1
allegiance,2,3,1,1,0.5,0,1
alleging,2,2,0,0,1,0,0
allegoric,2,2,0,0,1,0,0
allegory,2,2,0,0,1,0,0
allegrettos,2,3,1,1,0.5,0,1
allegros,2,2,0,0,1,0,0
alleluias,2,3,1,1,0.5,0,1
Allen's,2,2,0,0,1,0,0
allergen,2,2,0,0,1,0,0
allergic,2,2,0,0,1,0,0
allergy,2,2,0,0,1,0,0
alleviate,2,2,0,0,1,0,0
alleys,2,2,0,0,1,0,0
alleyway,2,2,0,0,1,0,0
alliance,2,2,0,0,1,0,0
allied,2,2,0,0,1,0,0
allies,2,2,0,0,1,0,0
alligatored,2,3,1,1,0.5,0,1
alligators,2,3,1,1,0.5,0,1
allocable,2,3,1,1,0.5,0,1
allocate,2,2,0,0,1,0,0
alloted,2,3,1,1,0.5,0,1
allotment,2,2,0,0,1,0,0
allots,2,2,0,0,1,0,0
allotted,2,3,1,1,0.5,0,1
allotting,2,3,1,1,0.5,0,1
allowable,2,3,1,1,0.5,0,1
allowance,2,2,0,0,1,0,0
allowed,2,2,0,0,1,0,0
allowing,2,2,0,0,1,0,0
allows,2,2,0,0,1,0,0
alloyed,2,2,0,0,1,0,0
alloying,2,3,1,1,0.5,0,1
alloys,2,2,0,0,1,0,0
allspice,2,2,0,0,1,0,0
alluded,2,3,1,1,0.5,0,1
alludes,2,3,1,1,0.5,0,1
alluding,2,3,1,1,0.5,0,1
allured,2,3,1,1,0.5,0,1
allurement,2,3,1,1,0.5,0,1
allures,2,2,0,0,1,0,0
alluring,2,3,1,1,0.5,0,1
allusion,2,2,0,0,1,0,0
allusive,2,2,0,0,1,0,0
alluvial,2,2,0,0,1,0,0
alluvium,2,2,0,0,1,0,0
allying,2,2,0,0,1,0,0
almanacs,2,2,0,0,1,0,0
almonds,2,2,0,0,1,0,0
almoner,2,2,0,0,1,0,0
aloes,2,2,0,0,1,0,0
aloneness,2,2,0,0,1,0,0
alongside,2,2,0,0,1,0,0
aloofly,2,2,0,0,1,0,0
aloofness,2,2,0,0,1,0,0
alpacas,2,2,0,0,1,0,0
alpenhorns,2,3,1,1,0.5,0,1
alpenstocks,2,3,1,1,0.5,0,1
alphabetic,2,3,1,1,0.5,0,1
alphabetical,2,3,1,1,0.5,0,1
alphabets,2,3,1,1,0.5,0,1
alphas,2,2,0,0,1,0,0
Alpine,2,2,0,0,1,0,0
Al's,2,2,0,0,1,0,0
Alsatian,2,2,0,0,1,0,0
altarpiece,2,2,0,0,1,0,0
altars,2,2,0,0,1,0,0
alterable,2,3,1,1,0.5,0,1
alteration,2,3,1,1,0.5,0,1
altercated,2,3,1,1,0.5,0,1
altercates,2,3,1,1,0.5,0,1
altercating,2,3,1,1,0.5,0,1
altercation,2,3,1,1,0.5,0,1
altered,2,2,0,0,1,0,0
altering,2,2,0,0,1,0,0
alternate,2,2,0,0,1,0,0
alters,2,2,0,0,1,0,0
although,2,2,0,0,1,0,0
altimeter,2,3,1,1,0.5,0,1
altitude,2,2,0,0,1,0,0
ALTON,2,2,0,0,1,0,0
altos,2,2,0,0,1,0,0
altruism,2,2,0,0,1,0,0
altruist,2,2,0,0,1,0,0
alumna,2,2,0,0,1,0,0
alumnae,2,2,0,0,1,0,0
alumni,2,2,0,0,1,0,0
alumnus,2,2,0,0,1,0,0
alveolar,2,2,0,0,1,0,0
alveoli,2,2,0,0,1,0,0
alveolus,2,2,0,0,1,0,0
alyssums,2,3,1,1,0.5,0,1
amalgamate,2,2,0,0,1,0,0
amalgamation,2,3,1,1,0.5,0,1
amalgams,2,2,0,0,1,0,0
amanuenses,2,3,1,1,0.5,0,1
amanuensis,2,3,1,1,0.5,0,1
amaryllises,2,3,1,1,0.5,0,1
amass,2,2,0,0,1,0,0
amateurish,2,2,0,0,1,0,0
amateurism,2,3,1,1,0.5,0,1
amateurs,2,3,1,1,0.5,0,1
amazed,2,2,0,0,1,0,0
amazement,2,2,0,0,1,0,0
amazes,2,2,0,0,1,0,0
amazing,2,2,0,0,1,0,0
Amazons,2,2,0,0,1,0,0
ambassadorial,2,3,1,1,0.5,0,1
ambassadors,2,3,1,1,0.5,0,1
ambassador's,2,3,1,1,0.5,0,1
ambassadorship,2,3,1,1,0.5,0,1
ambassadress,2,2,0,0,1,0,0
ambiance,2,2,0,0,1,0,0
ambience,2,2,0,0,1,0,0
ambient,2,2,0,0,1,0,0
ambiguity,2,3,1,1,0.5,0,1
ambiguous,2,2,0,0,1,0,0
ambition,2,2,0,0,1,0,0
ambitious,2,2,0,0,1,0,0
ambits,2,2,0,0,1,0,0
ambled,2,2,0,0,1,0,0
AMBLER,2,2,0,0,1,0,0
ambles,2,2,0,0,1,0,0
ambling,2,2,0,0,1,0,0
ambrosial,2,2,0,0,1,0,0
ambulance,2,2,0,0,1,0,0
ambulant,2,2,0,0,1,0,0
ambuscaded,2,3,1,1,0.5,0,1
ambuscades,2,3,1,1,0.5,0,1
ambuscading,2,3,1,1,0.5,0,1
ambushed,2,3,1,1,0.5,0,1
ambushes,2,3,1,1,0.5,0,1
ambushing,2,3,1,1,0.5,0,1
Amelia's,2,2,0,0,1,0,0
ameliorate,2,3,1,1,0.5,0,1
amendable,2,3,1,1,0.5,0,1
